,PM25,PM10,O3,SO2,NO,NO2,NOX,CO,CH4,NMHC,THC,wind_speed,wind_gust_speed,wind_direction,air_humidity,air_temperature,container_humidity,container_temperature,solar_radiation,timestamp
6691,17.0167,28.0616,18.6344,6.9171,2.2333,35.3888,20.2183,689.7633,2.1939,0.3309,2.5255,0.7319,3.4,85.981,80.2995,28.1895,27.0974,28.6971,0.0071,2025-05-22 18:30:00+00:00
6692,26.7487,40.9343,21.5069,6.9354,1.0469,25.4352,14.085,627.5826,2.2648,0.3427,2.6072,1.2357,4.72,103.9042,84.4411,27.447,26.1867,28.5303,0.0487,2025-05-22 19:00:00+00:00
6693,30.0323,45.6685,8.9324,8.7869,2.6208,38.5376,22.1683,811.8573,2.4329,0.4519,2.8848,0.8751,3.89,113.0508,86.0101,27.1593,26.7914,28.3286,0.0302,2025-05-22 19:30:00+00:00
6694,38.4637,54.546,6.0951,8.7968,4.3177,40.7376,24.6717,1286.1986,2.6003,0.5741,3.1752,0.564,2.86,143.8732,89.0956,26.7194,26.0743,28.1149,0.0651,2025-05-22 20:00:00+00:00
6695,48.2481,63.4784,5.0653,8.5031,2.9,40.6656,23.5,1146.004,2.3647,0.6013,2.9661,0.7083,2.8,112.5243,89.9668,26.651,27.6116,27.9641,0.1444,2025-05-22 20:30:00+00:00
6696,52.5296,63.0242,4.4849,17.3951,3.9333,41.6416,24.835,1311.2787,2.3525,0.621,2.9735,0.7784,2.95,139.0685,90.3364,26.4456,28.1859,28.2558,0.1305,2025-05-22 21:00:00+00:00
6697,51.5527,62.1412,4.0362,21.0561,3.9865,41.5392,24.8242,1371.2173,2.3727,0.598,2.9699,0.5005,2.6,132.5816,89.6578,26.3919,28.6233,28.135,0.1024,2025-05-22 21:30:00+00:00
6698,54.6707,62.5135,0.0,21.6479,7.9437,46.1984,30.4167,1560.698,2.4037,0.6579,3.0611,0.1934,1.55,137.8241,90.0308,26.2899,26.4653,27.8461,0.112,2025-05-22 22:00:00+00:00
6699,54.5938,58.0922,0.0,16.5398,7.5698,46.2816,30.1608,1383.6814,2.3813,0.705,3.0855,0.6185,2.13,193.9716,90.2958,26.1902,28.5445,28.0222,0.2101,2025-05-22 22:30:00+00:00
6700,56.809,63.2561,2.016,13.7154,3.1292,37.4992,22.0342,1213.264,2.5228,0.7117,3.2342,0.6075,2.24,189.5591,89.7836,26.0278,26.6689,27.7293,0.1753,2025-05-22 23:00:00+00:00
6701,69.198,63.0559,3.4667,10.7126,2.0688,31.152,17.88,1084.14,3.3886,0.7165,4.1055,0.5506,1.89,182.575,89.9756,25.8843,28.5206,27.5923,0.2116,2025-05-22 23:30:00+00:00
6702,75.3921,49.462,1.0758,9.6989,1.6865,31.6688,17.8433,1162.6227,3.1641,0.7309,3.894,0.2242,1.28,214.3518,91.5204,25.7475,28.8104,27.871,0.1931,2025-05-23 00:00:00+00:00
6703,65.3556,59.3485,0.7136,8.86,1.8146,30.1664,17.1633,1167.5374,2.8009,0.7241,3.5237,0.3029,1.39,184.2115,91.9163,25.6672,28.5034,27.6394,0.3054,2025-05-23 00:30:00+00:00
6704,66.2314,63.3264,3.0198,8.8282,1.1677,27.3648,15.1867,1013.8907,2.4658,0.6368,3.1024,0.4806,1.95,208.3871,90.3278,25.8722,27.6796,27.8419,0.3186,2025-05-23 01:00:00+00:00
6705,61.862,62.6531,1.4853,8.9278,1.2625,29.5712,16.4117,1143.42,2.5542,0.6772,3.2314,0.0384,1.01,253.607,89.7459,25.9986,28.2679,27.8521,0.2635,2025-05-23 01:30:00+00:00
6706,57.5697,64.1012,2.0244,9.057,1.401,30.1232,16.81,932.52,2.5002,0.5939,3.0934,1.2666,4.68,267.1289,90.5041,25.9632,27.9529,27.9797,0.2343,2025-05-23 02:00:00+00:00
6707,53.4969,50.5696,6.1673,7.9724,1.0198,24.5168,13.585,463.106,2.3899,0.3365,2.7269,1.3552,3.79,254.3537,94.9895,25.3622,27.5569,27.6439,0.2069,2025-05-23 02:30:00+00:00
6708,52.6857,50.9499,10.2889,7.5235,0.7813,18.0832,10.0433,418.95,2.3423,0.298,2.6404,0.805,3.14,197.6357,97.0082,24.9271,28.3407,27.8667,0.262,2025-05-23 03:00:00+00:00
6709,52.5147,50.8761,10.1564,6.7899,0.6719,15.3488,8.5317,418.3166,2.3135,0.2975,2.6125,0.5353,2.01,219.9853,97.158,24.9311,28.7166,27.7675,0.2496,2025-05-23 03:30:00+00:00
6710,55.06,55.6248,10.0082,6.6068,0.5094,13.9536,7.675,387.2453,2.2948,0.3079,2.6035,0.8444,2.74,254.4333,97.0295,24.9551,28.1124,27.8351,0.293,2025-05-23 04:00:00+00:00
6711,41.3033,55.4662,10.1767,6.7736,0.5458,15.104,8.3033,346.1927,2.273,0.2971,2.5707,0.7641,2.42,226.9425,96.4427,24.9511,27.1383,27.7342,0.2955,2025-05-23 04:30:00+00:00
6712,67.2918,61.0223,10.0151,7.3573,0.3823,13.8384,7.5133,401.0773,2.2878,0.3564,2.6446,0.7296,2.54,247.9116,96.1247,24.9637,27.8969,28.0405,0.2354,2025-05-23 05:00:00+00:00
6713,71.525,51.0275,10.0773,7.6935,0.4198,12.456,6.8233,382.3307,2.2947,0.2561,2.5505,0.7343,3.03,265.0283,95.6054,24.9153,28.305,27.9257,0.2652,2025-05-23 05:30:00+00:00
6714,63.6993,55.8476,6.4324,7.9348,0.7063,14.9328,8.3425,463.2707,2.5365,0.3289,2.8644,0.4522,1.92,260.8912,95.6233,24.909,27.8386,27.8395,0.6172,2025-05-23 06:00:00+00:00
